grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
7202692,Drilling Rig For the Dry Valley Drilling Project,DATA NOT AVAILABLE,E J Longyear Company,272600.0,05/16/1972,Research project focused on Drilling Rig For the Dry Valley Drilling Project at E J Longyear Company.
7202694,Two Inertial Navigation Systems,C. D Burdick,Litton Industries Inc Aero Products Division,203832.0,02/21/1972,Research project focused on Two Inertial Navigation Systems at Litton Industries Inc Aero Products Division.
7202695,Workshop on Ecological Research Priorities in the Tropics,Jeremy Taylor,University of Wisconsin-Madison,95393.0,04/15/1972,Research project focused on Workshop on Ecological Research Priorities in the Tropics at University of Wisconsin-Madison.
7202697,Trends in Aptitudes of Graduates in Science,DATA NOT AVAILABLE,Educational Testing Service,13425.0,04/01/1972,Research project focused on Trends in Aptitudes of Graduates in Science at Educational Testing Service.
7202698,A Planning Program For Continuing Studies of Recent EntrantsTo Science and Engineering,Unknown Faculty,American Council on Education,49375.0,05/01/1972,Research project focused on A Planning Program For Continuing Studies of Recent EntrantsTo Science and Engineering at American Council on Education.
7202699,Construction of an Oceanographic Research Vessel,Arthur E Maxwell,Woods Hole Oceanographic Institution,6352400.0,06/24/1972,Research project focused on Construction of an Oceanographic Research Vessel at Woods Hole Oceanographic Institution.
7202700,Planning and Development of Programs For Cosati,Abe R Shliferstein,George Washington University,295753.0,05/15/1972,Research project focused on Planning and Development of Programs For Cosati at George Washington University.
7202701,Collection and Analysis of Data With Respect to the         Attitudes of the General Public Towards Science and         Technology,Unknown Faculty,Opinion Research Corporation D C,14000.0,06/05/1972,Research project focused on Collection and Analysis of Data With Respect to the         Attitudes of the General Public Towards Science and         Technology at Opinion Research Corporation D C.
7202703,Update of Programs,Lawrence R Pomeroy,Unknown Institution,12000.0,05/10/1972,Research project focused on Update of Programs at Unknown Institution.
7202707,The Present and Future Technological and Commercial Status  Of Enzymes,Jay H Wolkowisky,Bernard Wolnak and Associates,5900.0,11/06/1972,Research project focused on The Present and Future Technological and Commercial Status  Of Enzymes at Bernard Wolnak and Associates.
7202708,Survey of Systems Analysis Needs in Electric Power Systems,Unknown Faculty,Systems Control Inc,288978.0,09/01/1972,Research project focused on Survey of Systems Analysis Needs in Electric Power Systems at Systems Control Inc.
7202709,"Contract For the Manangement, Operation and Maintenance of  The National Center For Atmospheric Research",Francis P Bretherton,National Center For Atmospheric Research,71557247.0,07/01/1972,"Research project focused on Contract For the Manangement, Operation and Maintenance of  The National Center For Atmospheric Research at National Center For Atmospheric Research."
7202712,Support of University of Georgia Marine Institute and       Skidaway Institute of Oceanography Research Vessels,Unknown Faculty,Skidaway Institute of Oceanography,307700.0,12/01/1971,Research project focused on Support of University of Georgia Marine Institute and       Skidaway Institute of Oceanography Research Vessels at Skidaway Institute of Oceanography.
7202714,Support of the Research Vessel Velero Iv,Jay M Savage,University of Southern California,1223800.0,12/01/1971,Research project focused on Support of the Research Vessel Velero Iv at University of Southern California.
7202715,Research Vessel Operations,Unknown Faculty,Oregon State University,510700.0,12/01/1971,Research project focused on Research Vessel Operations at Oregon State University.
7202716,Support of Research Vessels,James Gibbons,University of Miami,7878400.0,12/01/1971,Research project focused on Support of Research Vessels at University of Miami.
7202717,Support of Ship Operations,George P Woollard,University of Hawaii,2972900.0,12/01/1971,Research project focused on Support of Ship Operations at University of Hawaii.
7202718,Ship Operations Support,Donald W Hood,University of Alaska Fairbanks Campus,880300.0,12/01/1971,Research project focused on Ship Operations Support at University of Alaska Fairbanks Campus.
7202719,Support of Ship Operations,Unknown Faculty,Columbia University Lamont Doherty Earth Observatory,3858600.0,01/01/1972,Research project focused on Support of Ship Operations at Columbia University Lamont Doherty Earth Observatory.
7202720,Support For Operation of R/V Gulf Stream,Dennis W Moore,Nova Southeastern University,122100.0,01/01/1972,Research project focused on Support For Operation of R/V Gulf Stream at Nova Southeastern University.
7202721,Support of Research Vessel Operations,Harold W Screen  Jr,Johns Hopkins University,1252900.0,01/01/1972,Research project focused on Support of Research Vessel Operations at Johns Hopkins University.
7202722,Ship Operations Support,Alyn C Duxbury,University of Washington,3013100.0,01/01/1972,Research project focused on Ship Operations Support at University of Washington.
